Source,Target,Weight
高俅,林冲,101
高俅,鲁智深,20
高俅,宋江,206
高俅,呼延灼,89
高俅,卢俊义,30
高俅,戴宗,31
高俅,李逵,12
高俅,燕青,32
高俅,吴用,40
高俅,董平,15
高俅,童贯,19
高俅,张清,21
高俅,公孙胜,10
庄客,史进,45
庄客,朱武,13
庄客,鲁智深,42
庄客,林冲,132
庄客,柴进,43
庄客,雷横,46
庄客,晁盖,115
庄客,朱仝,41
庄客,刘唐,21
庄客,吴用,20
庄客,公孙胜,14
庄客,宋江,214
庄客,武松,46
庄客,李逵,107
庄客,杨雄,17
庄客,石秀,11
庄客,解珍,25
庄客,燕青,34
庄客,王庆,49
史进,庄客,45
史进,朱武,58
史进,鲁智深,25
史进,宋江,78
史进,戴宗,10
史进,徐宁,17
史进,花荣,26
史进,柴进,10
史进,朱仝,19
史进,呼延灼,14
史进,孙立,16
史进,黄信,14
史进,吴用,16
史进,林冲,12
史进,刘唐,10
史进,石秀,16
史进,李逵,18
史进,武松,13
史进,杨志,27
史进,李俊,13
史进,解珍,11
史进,顾大嫂,15
史进,卢俊义,23
史进,索超,12
史进,董平,24
朱武,史进,58
朱武,庄客,13
朱武,鲁智深,57
朱武,宋江,163
朱武,武松,51
朱武,戴宗,17
朱武,花荣,14
朱武,秦明,13
朱武,林冲,13
朱武,杨志,17
朱武,呼延灼,13
朱武,吴用,79
朱武,朱仝,13
朱武,解珍,13
朱武,杨雄,10
朱武,李俊,10
朱武,宿太尉,13
朱武,卢俊义,127
朱武,孙立,10
朱武,燕青,22
朱武,宋兵,10
鲁智深,庄客,42
鲁智深,史进,25
鲁智深,林冲,94
鲁智深,高俅,20
鲁智深,杨志,98
鲁智深,武松,312
鲁智深,宋江,395
鲁智深,花荣,23
鲁智深,杨雄,65
鲁智深,石秀,86
鲁智深,呼延灼,96
鲁智深,施恩,17
鲁智深,秦明,27
鲁智深,朱武,57
鲁智深,戴宗,52
鲁智深,吴用,63
鲁智深,朱仝,29
鲁智深,徐宁,18
鲁智深,解珍,34
鲁智深,李俊,20
鲁智深,晁盖,69
鲁智深,刘唐,75
鲁智深,公孙胜,29
鲁智深,李逵,138
鲁智深,孙立,13
鲁智深,黄信,15
鲁智深,卢俊义,177
鲁智深,张清,34
鲁智深,关胜,10
鲁智深,索超,15
鲁智深,燕青,10
鲁智深,顾大嫂,11
鲁智深,汤隆,10
鲁智深,宋兵,12
鲁智深,田虎,15
鲁智深,乔道清,43
鲁智深,方腊,64
林冲,高俅,101
林冲,鲁智深,94
林冲,庄客,132
林冲,柴进,112
林冲,杨志,35
林冲,吴用,178
林冲,阮小七,20
林冲,晁盖,137
林冲,公孙胜,62
林冲,刘唐,65
林冲,宋江,337
林冲,花荣,88
林冲,秦明,71
林冲,黄信,34
林冲,戴宗,28
林冲,李逵,93
林冲,李俊,24
林冲,张横,35
林冲,张顺,19
林冲,杨雄,23
林冲,石秀,20
林冲,杨林,12
林冲,孙立,31
林冲,解珍,20
林冲,朱仝,23
林冲,呼延灼,97
林冲,顾大嫂,18
林冲,汤隆,44
林冲,徐宁,68
林冲,武松,30
林冲,朱武,13
林冲,史进,12
林冲,梁中书,14
林冲,卢俊义,54
林冲,关胜,76
林冲,索超,39
林冲,燕青,13
林冲,董平,50
林冲,张清,71
林冲,宋兵,27
林冲,乔道清,44
柴进,林冲,112
柴进,庄客,43
柴进,吴用,53
柴进,宋江,267
柴进,武松,60
柴进,朱仝,115
柴进,雷横,27
柴进,李逵,77
柴进,李俊,14
柴进,张顺,14
柴进,花荣,20
柴进,公孙胜,11
柴进,戴宗,21
柴进,史进,10
柴进,呼延灼,14
柴进,石秀,17
柴进,阮小七,11
柴进,卢俊义,22
柴进,燕青,71
柴进,关胜,11
柴进,张清,10
柴进,方腊,42
杨志,林冲,35
杨志,梁中书,176
杨志,索超,32
杨志,吴用,18
杨志,鲁智深,98
杨志,武松,39
杨志,宋江,67
杨志,呼延灼,55
杨志,施恩,13
杨志,花荣,11
杨志,秦明,20
杨志,戴宗,12
杨志,朱武,17
杨志,朱仝,10
杨志,徐宁,15
杨志,解珍,10
杨志,杨雄,11
杨志,石秀,10
杨志,公孙胜,13
杨志,史进,27
杨志,李逵,10
杨志,孙立,11
杨志,黄信,13
杨志,关胜,16
杨志,卢俊义,55
杨志,燕青,11
杨志,董平,10
杨志,乔道清,11
梁中书,杨志,176
梁中书,索超,36
梁中书,吴用,31
梁中书,宋江,43
梁中书,卢俊义,32
梁中书,林冲,14
梁中书,李逵,14
索超,杨志,32
索超,梁中书,36
索超,宋江,108
索超,李逵,22
索超,解珍,18
索超,秦明,17
索超,吴用,24
索超,关胜,24
索超,李俊,18
索超,卢俊义,32
索超,林冲,39
索超,花荣,18
索超,刘唐,15
索超,史进,12
索超,徐宁,41
索超,呼延灼,18
索超,朱仝,13
索超,燕青,10
索超,杨林,10
索超,董平,40
索超,张清,39
索超,鲁智深,15
索超,武松,15
索超,孙立,13
索超,童贯,10
索超,汤隆,14
索超,乔道清,15
朱仝,雷横,323
朱仝,庄客,41
朱仝,晁盖,103
朱仝,公孙胜,15
朱仝,刘唐,16
朱仝,宋江,314
朱仝,吴用,157
朱仝,李逵,230
朱仝,柴进,115
朱仝,林冲,23
朱仝,花荣,63
朱仝,秦明,33
朱仝,李俊,27
朱仝,孙立,26
朱仝,杨林,11
朱仝,戴宗,20
朱仝,张横,12
朱仝,张顺,13
朱仝,杨雄,17
朱仝,石秀,14
朱仝,黄信,21
朱仝,解珍,16
朱仝,武松,28
朱仝,朱武,13
朱仝,鲁智深,29
朱仝,杨志,10
朱仝,呼延灼,22
朱仝,徐宁,29
朱仝,史进,19
朱仝,卢俊义,35
朱仝,关胜,20
朱仝,索超,13
朱仝,燕青,11
朱仝,张清,10
朱仝,宋兵,11
朱仝,方腊,14
雷横,朱仝,323
雷横,庄客,46
雷横,晁盖,139
雷横,刘唐,52
雷横,吴用,64
雷横,宋江,105
雷横,李逵,48
雷横,柴进,27
雷横,秦明,10
雷横,杨林,10
雷横,呼延灼,14
雷横,汤隆,12
雷横,卢俊义,19
雷横,张清,13
雷横,童贯,12
晁盖,雷横,139
晁盖,庄客,115
晁盖,朱仝,103
晁盖,刘唐,111
晁盖,吴用,234
晁盖,阮小七,33
晁盖,公孙胜,92
晁盖,宋江,405
晁盖,林冲,137
晁盖,花荣,44
晁盖,秦明,20
晁盖,黄信,20
晁盖,戴宗,67
晁盖,李逵,67
晁盖,张横,17
晁盖,张顺,13
晁盖,李俊,14
晁盖,杨雄,24
晁盖,石秀,20
晁盖,杨林,11
晁盖,呼延灼,31
晁盖,鲁智深,69
刘唐,晁盖,111
刘唐,庄客,21
刘唐,雷横,52
刘唐,吴用,98
刘唐,公孙胜,40
刘唐,阮小七,15
刘唐,宋江,215
